LexToken(LPAREN,'(',45,1776)
LexToken(STRING,'Promedio:',45,1777)
LexToken(COMMA,',',45,1788)
LexToken(IDENTIFIER,'student1',45,1790)
LexToken(DOT,'.',45,1798)
LexToken(IDENTIFIER,'calculateAverage',45,1799)
LexToken(LPAREN,'(',45,1815)
LexToken(RPAREN,')',45,1816)
LexToken(RPAREN,')',45,1817)
LexToken(SEMICOLON,';',45,1818)
LexToken(IF,'if',48,1894)
LexToken(LPAREN,'(',48,1897)
LexToken(IDENTIFIER,'student1',48,1898)
LexToken(DOT,'.',48,1906)
LexToken(IDENTIFIER,'isPassing',48,1907)
LexToken(LPAREN,'(',48,1916)
LexToken(RPAREN,')',48,1917)
LexToken(RPAREN,')',48,1918)
LexToken(LBRACE,'{',48,1920)
LexToken(IDENTIFIER,'console',49,1930)
LexToken(DOT,'.',49,1937)
LexToken(IDENTIFIER,'log',49,1938)
LexToken(LPAREN,'(',49,1941)
LexToken(STRING,'Estado: Aprobado',49,1942)
LexToken(RPAREN,')',49,1960)
LexToken(SEMICOLON,';',49,1961)
LexToken(RBRACE,'}',50,1967)
LexToken(ELSE,'else',50,1969)
LexToken(LBRACE,'{',50,1974)
LexToken(IDENTIFIER,'console',51,1984)
LexToken(DOT,'.',51,1991)
LexToken(IDENTIFIER,'log',51,1992)
LexToken(LPAREN,'(',51,1995)
LexToken(STRING,'Estado: Reprobado',51,1996)
LexToken(RPAREN,')',51,2015)
LexToken(SEMICOLON,';',51,2016)
LexToken(RBRACE,'}',52,2022)
LexToken(RBRACE,'}',53,2024)
LexToken(IDENTIFIER,'main',56,2089)
LexToken(LPAREN,'(',56,2093)
LexToken(RPAREN,')',56,2094)
LexToken(SEMICOLON,';',56,2095)
