LexToken(STRING,'Promedio:',45,1786)
LexToken(COMMA,',',45,1797)
LexToken(IDENTIFIER,'student1',45,1799)
LexToken(DOT,'.',45,1807)
LexToken(IDENTIFIER,'calculateAverage',45,1808)
LexToken(LPAREN,'(',45,1824)
LexToken(RPAREN,')',45,1825)
LexToken(RPAREN,')',45,1826)
LexToken(SEMICOLON,';',45,1827)
LexToken(IF,'if',48,1904)
LexToken(LPAREN,'(',48,1907)
LexToken(IDENTIFIER,'student1',48,1908)
LexToken(DOT,'.',48,1916)
LexToken(IDENTIFIER,'isPassing',48,1917)
LexToken(LPAREN,'(',48,1926)
LexToken(RPAREN,')',48,1927)
LexToken(RPAREN,')',48,1928)
LexToken(LBRACE,'{',48,1930)
LexToken(IDENTIFIER,'console',49,1940)
LexToken(DOT,'.',49,1947)
LexToken(IDENTIFIER,'log',49,1948)
LexToken(LPAREN,'(',49,1951)
LexToken(STRING,'Estado: Aprobado',49,1952)
LexToken(RPAREN,')',49,1970)
LexToken(SEMICOLON,';',49,1971)
LexToken(RBRACE,'}',50,1977)
LexToken(ELSE,'else',50,1979)
LexToken(LBRACE,'{',50,1984)
LexToken(IDENTIFIER,'console',51,1994)
LexToken(DOT,'.',51,2001)
LexToken(IDENTIFIER,'log',51,2002)
LexToken(LPAREN,'(',51,2005)
LexToken(STRING,'Estado: Reprobado',51,2006)
LexToken(RPAREN,')',51,2025)
LexToken(SEMICOLON,';',51,2026)
LexToken(RBRACE,'}',52,2032)
LexToken(RBRACE,'}',53,2034)
LexToken(IDENTIFIER,'main',56,2100)
LexToken(LPAREN,'(',56,2104)
LexToken(RPAREN,')',56,2105)
LexToken(SEMICOLON,';',56,2106)
